HIDDEN,NAME,ALIVE,YEAR_OF_DEATH,HINT,DOB,F_D_N,CELEBRITY_TYPE,DOD,ID
,Pat Morita,,2005,Mr Miyagi from The Karate Kid,6/28/1932,,,,10001
yes,I SHOULD NOT BE SEEN,,,,,,,,10002
,Joe Namath,ALIVE,,Quarterback for the NY Jets and winner of Super Bowl III,5/31/1943,,,,10003
,Sandra Day O'Connor,,2023,First ever female Supreme Court Justice,3/26/1930,,,12/1/2023,10004
,Bob Dole,,2021,1996 Republican US Presidential candidate,4/22/1923,DONE,,12/5/2021,10005
,Tom Petty,,2017,Free faller,10/20/1950,DONE,,,10006
,Phil Collins,ALIVE,,He can feel it coming in the air tonight,1/30/1951,,,,10007
,Sidney Poitier,,2022,Actor in 'Guess Who's Coming to Dinner',2/20/1927,DONE,,1/6/2022,10008
,Yoko Ono,ALIVE,,Wife of John Lennon,2/18/1933,,,,10009
,Wilt Chamberlain,,1999,NBA star and former Harlem Globetrotter,8/21/1936,,,,10010
,Walter Mondale,,2021,1984 Democratic US Presidential candidate,1/5/1928,Fun,,,10011
,George HW Bush,,2018,41st President of the United States,6/12/1924,Fun,,,10012
,Michael Dukakis,ALIVE,,1988 Democratic US Presidential candidate,11/3/1933,,,,10013
,Pele,,2022,Brazilian soccer superstar,10/23/1940,Fun,,12/29/2022,10014
,Farrah Fawcett,,2009,Star of the original 'Charlie's Angels' TV series,2/2/1947,,,,10015
,Sally Field,ALIVE,,Actress in 'Gidget',11/6/1946,,,,10016
,Tina Turner,,2023,Singer of 'Whats Love Got To Do With It' and 'Private Dancer',11/26/1939,Fun,,5/24/2023,10017
,Hugh Hefner,,2017,Playboy Founder,4/9/1926,Fun,,,10018
,Chuck Berry,,2017,Johnny be Good' singer,10/18/1928,,,,10019
,George Michael,,2016,Wake him up before you go-go,6/25/1963,DONE,,12/25/2016,10020
,Geraldine Ferraro,,2011,1984 US Vice Presidential candidate,8/26/1935,,,,10021
,David Bowie,,2016,British rocker aka Ziggy Stardust or Alladin Sane or Thin White Duke,1/8/1947,DONE,,1/10/2016,10022
,Leonard Nimoy,,2015,Spock on Star Trek,3/26/1931,DONE,,2/27/2015,10023
,Margaret Thatcher,,2013,Prime Minister of the UK from 1979 to 1990,10/13/1925,DONE,,4/8/2013,10024
,Kofi Annan,,2018,Former UN Secretary-General,4/8/1938,Fun,,,10025
,Jane Goodall,ALIVE,,Primatologist,4/3/1934,,,,10026
,Danny Aiello,,2019,Do the Right Thing' Actor,6/20/1933,Fun,,,10027
,Eddie Money,,2019,He has not one but two tickets to paradise,3/21/1949,DONE,,,10028
,Peter Fonda,,2019,Star of 'Easy Rider' and brother of Jane,2/23/1940,DONE,,8/16/2019,10029
,Dennis Hopper,,2010,Star of 'Apocalypse Now' and 'Blue Velvet',5/17/1936,,,,10030
,Rutger Hauer,,2019,Blade Runner Actor,1/23/1944,Fun,,,10031
,Rip Torn,,2019,Actor and 'Z' in Men in Black,2/6/1931,Fun,,,10032
,Flavor Flav,ALIVE,,Public Enemy rapper,3/16/1959,,,,10033
